MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,Zone
311109000,2017-12-01 00:03:29,18.850179999999998,-65.8487,18.2,130.9,129.0,NORWEGIAN SUN,IMO9218131,C6RN3,1012.0,under way using engine,258.59,32.25,,,2
671966000,2017-12-01 19:36:04,18.330370000000002,-64.96089,0.0,-149.5,511.0,,,,,power-driven vessel towing astern,,,,,2
367573630,2017-12-01 00:03:10,18.28271,-65.63716,0.0,-123.3,511.0,,,,,,,,,,2
232012229,2017-12-01 00:05:54,17.80085,-65.3186,6.9,37.7,511.0,,,,,,,,,,2
366744150,2017-12-01 19:41:44,18.33495,-64.92114000000001,0.0,-49.6,511.0,KON TIKI II,,WDF6312,1012.0,under way using engine,27.43,10.0,,,2
367617230,2017-12-01 00:12:44,18.295560000000002,-65.39324,11.4,96.6,511.0,SANTA MARIA,IMO9010383,WDH4392,1012.0,under way using engine,41.54,11.4,,,2
367617230,2017-12-01 00:13:52,18.295370000000002,-65.38942,11.6,94.5,511.0,SANTA MARIA,IMO9010383,WDH4392,1012.0,under way using engine,41.54,11.4,,,2
367617230,2017-12-01 00:16:22,18.29394,-65.38108000000001,11.6,109.4,511.0,SANTA MARIA,IMO9010383,WDH4392,1012.0,under way using engine,41.54,11.4,,,2
232012229,2017-12-01 00:17:53,17.82004,-65.30371,8.0,35.2,511.0,,,,,,,,,,2
